Notes:,The Canadian Index of Social Resilience
1,"In Canada, 15 of the 20 input variables from the 2021 Census of Population were found to be associated with the three dimensions of social resilience. Overall, data are available for 55,906 dissemination areas (DAs) across Canada. "
2,"DAs are small, relatively stable geographic units composed of one or more adjacent dissemination blocks where populations generally range from 400 to 700 people. DAs cover all the territory of Canada and are the smallest standard geographic area for which all census data are disseminated. "
3,"The first dimension is driven by seven meaningful indicators pertaining to education, employment and dwelling characteristics. Specifically, this dimension is characterized by a greater proportion of the population with a bachelor's degree or higher, a greater proportion of the working population in a creative class occupation, a greater proportion of the population with a high school diploma (or equivalent) or higher, a geographic location that is relatively less remote, a greater proportion of the working population that is not employed in a single sector, a relatively higher median value of dwellings and a greater proportion of dwellings that are permanent.  "
4,"The second dimension is driven by seven meaningful indicators pertaining to homeownership, income, employment and age. Specifically, this dimension is characterized by a greater proportion of households that own their home, a greater proportion of the population that has not moved in the last five years, a greater proportion of the population not in low income, a greater proportion of the labour force that is employed, a relatively higher median household income, a greater proportion of the population with a high school diploma (or equivalent) or higher and a smaller proportion of the population under 65 years of age."
5,"The third dimension is driven by three meaningful indicators pertaining to age, activities of daily living and dwelling characteristics. Specifically, this dimension is characterized by a greater proportion of the population under 65 years of age, a greater proportion of the population that did not report ""always"" having difficulties with activities of daily living and a greater proportion of dwellings built after 1980."
6,"Dimension scores were constructed from the principal component analysis process. Lower scores for each dimension correspond to areas that are less socially resilient, whereas higher scores for each dimension relate to areas that are more socially resilient."
7,"Canadian Index of Social Resilience (CISR) scores correspond to an area’s social resilience based on the three dimensions. Scores are calculated by taking the average across the three dimensions of social resilience. Higher CISR scores correspond to DAs that are more resilient, and lower CISR scores correspond to DAs that are less resilient."
8,"CISR quintiles were also derived by ordering CISR scores from smallest to largest and then dividing them into five equally sized groups, or quintiles. Quintiles are categorized from 1 to 5. A value of 5 corresponds to the DAs that were the most resilient, and a value of 1 corresponds to the DAs that were the least resilient. "
9,The CISR most resilient dimension indicates the dimension that had the highest score across the three dimensions of social resilience. This highlights the dimension that demonstrated the most resilience in a given DA. 
10,"For reasons of data quality and confidentiality, 326 DAs with a census total non-response rate of 50% or more and 427 DAs with a population below 40 were excluded when creating the indexes. Stated otherwise, while CISR data are available for the majority of the country, there is a small subset of DAs for which data are not available."
