Notes:,The Canadian Index of Social Vulnerability
1,"In Canada, 22 of the 27 input variables from the 2021 Census of Population were found to be associated with the four dimensions of social vulnerability. Overall, data are available for 55,906 dissemination areas (DAs) across Canada. "
2,"DAs are small, relatively stable geographic units composed of one or more adjacent dissemination blocks where populations generally range from 400 to 700 people. DAs cover all the territory of Canada and are the smallest standard geographic area for which all census data are disseminated. "
3,"The first dimension is driven by eight meaningful indicators pertaining to racialized identity and immigration, dwelling characteristics, remoteness, and employment. Specifically, this dimension is characterized by a greater proportion of the population that identified as racialized, a greater proportion of dwellings deemed not acceptable, a greater proportion of the population that identified as recent immigrants (within the last five years), a greater proportion of the population with no working knowledge of either official language, a geographic location that is relatively less remote, a greater proportion of dwellings with five or more storeys, a greater proportion of the labour force that is unemployed and a relatively higher median value of dwellings."
4,"The second dimension is driven by six meaningful indicators pertaining to income, labour force participation, age, activity limitations and gender. Specifically, this dimension is characterized by a greater proportion of the population receiving government pension benefits as their main source of income, a greater proportion of the population not in the labour force, a greater proportion of the population aged 65 or over living alone, a greater proportion of the population reporting ""always"" having difficulties with activities of daily living because of physical problems, a greater proportion of the population that are women and a greater proportion of the population in low income."
5,"The third dimension is driven by eight meaningful indicators pertaining to education, Indigenous identity, family composition, income, remoteness and employment. Specifically, this dimension is characterized by a greater proportion of the population without a high school diploma (or equivalent), a greater proportion of the population that identified as Indigenous, a greater proportion of one-parent families with more than three children, a greater proportion of the population receiving employment insurance benefits, a geographic location that is relatively more remote, a greater proportion of the labour force that is unemployed, a greater proportion of the population in low income and a greater proportion of the population receiving social assistance as their main source of income. "
6,"The fourth dimension is driven by 10 meaningful indicators pertaining to activity limitations, moving, income and dwelling characteristics. Specifically, this dimension is characterized by a greater proportion of the population reporting ""always"" having difficulties with activities of daily living because of psychological problems, a greater proportion of recent movers (within the last five years), a greater proportion of the population receiving social assistance as their main source of income, a relatively lower median value of dwellings, a relatively lower median household income, a greater proportion of the population reporting ""always"" having difficulties with activities of daily living because of physical problems, a greater proportion of dwellings with five or more storeys, a greater proportion of the population in low income, a greater proportion of dwellings deemed not acceptable and a smaller proportion of the population with no knowledge of either official language."
7,"Dimension scores were constructed from the principal component analysis process. Lower scores for each dimension correspond to areas that are less socially vulnerable, whereas higher scores for each dimension relate to areas that are more socially vulnerable."
8,"Canadian Index of Social Vulnerability (CISV) scores correspond to an area’s social vulnerability based on the four dimensions. Scores are calculated by taking the average across the four dimensions of social vulnerability. Higher CISV scores correspond to DAs that are more vulnerable, and lower CISV scores correspond to DAs that are less vulnerable. "
9,"CISV quintiles were also derived by ordering CISV scores from smallest to largest and then dividing them into five equally sized groups, or quintiles. Quintiles are categorized from 1 to 5. A value of 5 corresponds to the DAs that were the most vulnerable, and a value of 1 corresponds to the DAs that were the least vulnerable. "
10,The CISV most vulnerable dimension indicates the dimension that had the highest score across the four dimensions of social vulnerability. This highlights the dimension that demonstrated the most vulnerability in a given DA. 
11,"For reasons of data quality and confidentiality, 326 DAs with a census total non-response rate of 50% or more and 427 DAs with a population below 40 were excluded when creating the indexes. Stated otherwise, while CISV data are available for the majority of the country, there is a small subset of DAs for which data are not available."
